ClothAccessoryBibOptionp5,Hearts
ClothAccessoryBibOptionx0,None
ClothAccessoryBibOptionx1,Text
ClothAccessoryBibSelectBase,Customize the bib.
ClothAccessoryBibSelectPattern,Select a pattern.
ClothAccessoryBibSelectTxt,Add some text
ClothAccessoryBodyWritingsModulePosition,Position
ClothAccessoryBodyWritingsModuleText,Text
ClothAccessoryBodyWritingsOptionp0,Collarbone Right
ClothAccessoryBodyWritingsOptionp1,Collarbone Center
ClothAccessoryBodyWritingsOptionp2,Collarbone Left
ClothAccessoryBodyWritingsOptionp3,Ribs Right
ClothAccessoryBodyWritingsOptionp4,Ribs Center
ClothAccessoryBodyWritingsOptionp5,Ribs Left
ClothAccessoryBodyWritingsOptionp6,Hips Right
ClothAccessoryBodyWritingsOptionp7,Hips Center
ClothAccessoryBodyWritingsOptionp8,Hips Left
ClothAccessoryBodyWritingsOptiont0,No
ClothAccessoryBodyWritingsOptiont1,Yes
ClothAccessoryBodyWritingsSelectBase,Select Writings
ClothAccessoryBodyWritingsSelectPosition,Select Position
ClothAccessoryBodyWritingsSelectText,Apply Text
ClothAccessoryBunnyCollarCuffsBoth,Both
ClothAccessoryBunnyCollarCuffsCollar,Collar Only
ClothAccessoryBunnyCollarCuffsCuffs,Cuffs Only
ClothAccessoryBunnyCollarCuffsSelect,Select a style.
ClothAccessoryGlitterDotsBoth,Dots Both Sides
ClothAccessoryGlitterDotsLeft,Dots Left
ClothAccessoryGlitterDotsRight,Dots Right
ClothAccessoryGlitterFreckles,Freckles
ClothAccessoryGlitterFrecklesSmall,Small Freckles
ClothAccessoryGlitterMidFreckles,Small Freckles
ClothAccessoryGlitterMidFrecklesSmall,Small Nose Freckles
ClothAccessoryGlitterSelect,Select a style.
ClothAccessoryGlitterSplitFreckles,Split Freckles
ClothAccessoryGlitterSplitFrecklesSmall,Small Cheek Freckles
ClothAccessoryGlitterStarsBoth,Stars Both Sides
ClothAccessoryGlitterStarsLeft,Stars Left
ClothAccessoryGlitterStarsRight,Stars Right
ClothAccessoryKissmarkModuleLcheek,Left Cheek
ClothAccessoryKissmarkModuleLneck,Neck Left
ClothAccessoryKissmarkModuleRcheek,Right Cheek
ClothAccessoryKissmarkModuleRfhead,Forehead
ClothAccessoryKissmarkModuleRneck,Neck Right
ClothAccessoryKissmarkOptionc0,No
ClothAccessoryKissmarkOptionc1,Yes
ClothAccessoryKissmarkOptionf0,No
ClothAccessoryKissmarkOptionf1,Yes
ClothAccessoryKissmarkOptionl0,No
ClothAccessoryKissmarkOptionl1,Yes
ClothAccessoryKissmarkOptionn0,No
ClothAccessoryKissmarkOptionn1,Yes
ClothAccessoryKissmarkOptionr0,Yes
ClothAccessoryKissmarkOptionr1,No
ClothAccessoryKissmarkSelectBase,Choose Lipstick Marks
ClothAccessoryKissmarkSelectLcheek,Left Cheek?
ClothAccessoryKissmarkSelectLneck,Neck Left?
ClothAccessoryKissmarkSelectRcheek,Right Cheek?
ClothAccessoryKissmarkSelectRfhead,Forehead?
ClothAccessoryKissmarkSelectRneck,Neck Right?
ClothAccessoryScarfBundled,Bundled
ClothAccessoryScarfHideMouth,Hide Mouth
ClothAccessoryScarfSelect,Select a scarf style.
ClothAccessoryScarfShowMouth,Normal
ClothAccessoryWombTattoosModuleBig,Big
ClothAccessoryWombTattoosModuleBloom,Bloom
ClothAccessoryWombTattoosModuleBottomSpike,BottomSpike
ClothAccessoryWombTattoosModuleFlash,Flash
ClothAccessoryWombTattoosModuleFly,Fly
ClothAccessoryWombTattoosModuleGrass,Grass
ClothAccessoryWombTattoosModuleGrow,Grow
ClothAccessoryWombTattoosModuleGrowHollow,GrowHollow
ClothAccessoryWombTattoosModuleHeartline,Heartline
ClothAccessoryWombTattoosModuleHeartSmall,HeartSmall
ClothAccessoryWombTattoosModuleHeartSmallOutline,HeartSmallOutline
ClothAccessoryWombTattoosModuleHeartSolid,HeartSolid
ClothAccessoryWombTattoosModuleHeartWings,HeartWings
ClothAccessoryWombTattoosModuleIn,In
ClothAccessoryWombTattoosModuleLeaves,Leaves
ClothAccessoryWombTattoosModuleMidSpike,MidSpike
ClothAccessoryWombTattoosModuleRibow,Ribow
ClothAccessoryWombTattoosModuleSense,Sense
ClothAccessoryWombTattoosModuleShake,Shake
ClothAccessoryWombTattoosModuleSideHearts,SideHearts
ClothAccessoryWombTattoosModuleSwim,Swim
ClothAccessoryWombTattoosModuleThorn,Thorn
ClothAccessoryWombTattoosModuleThornOut,ThornOut
ClothAccessoryWombTattoosModuleTopSpike,TopSpike
ClothAccessoryWombTattoosModuleVenom,Venom
ClothAccessoryWombTattoosModuleViper,Viper
ClothAccessoryWombTattoosModuleWaves,Waves
ClothAccessoryWombTattoosModuleWingSmall,WingSmall
ClothAccessoryWombTattoosModuleZoom,Zoom
ClothAccessoryWombTattoosOptionb0,No
ClothAccessoryWombTattoosOptionb1,Yes
ClothAccessoryWombTattoosOptionc0,No
ClothAccessoryWombTattoosOptionc1,Yes
ClothAccessoryWombTattoosOptiond0,No
ClothAccessoryWombTattoosOptiond1,Yes
ClothAccessoryWombTattoosOptione0,No
ClothAccessoryWombTattoosOptione1,Yes
ClothAccessoryWombTattoosOptionf0,No
ClothAccessoryWombTattoosOptionf1,Yes
ClothAccessoryWombTattoosOptiong0,No
ClothAccessoryWombTattoosOptiong1,Yes
ClothAccessoryWombTattoosOptionh0,No
ClothAccessoryWombTattoosOptionh1,Yes
ClothAccessoryWombTattoosOptioni0,No
ClothAccessoryWombTattoosOptioni1,Yes
ClothAccessoryWombTattoosOptionj0,No
ClothAccessoryWombTattoosOptionj1,Yes
ClothAccessoryWombTattoosOptionk0,No
ClothAccessoryWombTattoosOptionk1,Yes
ClothAccessoryWombTattoosOptionl0,No
ClothAccessoryWombTattoosOptionl1,Yes
ClothAccessoryWombTattoosOptionm0,No
ClothAccessoryWombTattoosOptionm1,Yes
ClothAccessoryWombTattoosOptionn0,No
ClothAccessoryWombTattoosOptionn1,Yes
ClothAccessoryWombTattoosOptiono0,No
ClothAccessoryWombTattoosOptiono1,Yes
ClothAccessoryWombTattoosOptionp0,No
ClothAccessoryWombTattoosOptionp1,Yes
ClothAccessoryWombTattoosOptionq0,No
ClothAccessoryWombTattoosOptionq1,Yes
ClothAccessoryWombTattoosOptionr0,No
ClothAccessoryWombTattoosOptionr1,Yes
ClothAccessoryWombTattoosOptions0,No
ClothAccessoryWombTattoosOptions1,Yes
ClothAccessoryWombTattoosOptiont0,No
ClothAccessoryWombTattoosOptiont1,Yes
ClothAccessoryWombTattoosOptionu0,No
ClothAccessoryWombTattoosOptionu1,Yes
ClothAccessoryWombTattoosOptionv0,No
ClothAccessoryWombTattoosOptionv1,Yes
ClothAccessoryWombTattoosOptionw0,No
ClothAccessoryWombTattoosOptionw1,Yes
ClothAccessoryWombTattoosOptionx0,No
ClothAccessoryWombTattoosOptionx1,Yes
ClothAccessoryWombTattoosOptiony0,No
ClothAccessoryWombTattoosOptiony1,Yes
ClothAccessoryWombTattoosOptionz0,No
ClothAccessoryWombTattoosOptionz1,Yes
ClothAccessoryWombTattoosOptionza0,No
ClothAccessoryWombTattoosOptionza1,Yes
ClothAccessoryWombTattoosOptionzb0,No
ClothAccessoryWombTattoosOptionzb1,Yes
ClothAccessoryWombTattoosOptionzc0,No
ClothAccessoryWombTattoosOptionzc1,Yes
ClothAccessoryWombTattoosOptionzd0,No
ClothAccessoryWombTattoosOptionzd1,Yes
ClothAccessoryWombTattoosSelectBase,Select Tattoos
ClothAccessoryWombTattoosSelectBig,Apply
ClothAccessoryWombTattoosSelectBloom,Apply
ClothAccessoryWombTattoosSelectBottomSpike,Apply
ClothAccessoryWombTattoosSelectFlash,Apply
ClothAccessoryWombTattoosSelectFly,Apply
ClothAccessoryWombTattoosSelectGrass,Apply
ClothAccessoryWombTattoosSelectGrow,Apply
ClothAccessoryWombTattoosSelectGrowHollow,Apply
ClothAccessoryWombTattoosSelectHeartline,Apply
ClothAccessoryWombTattoosSelectHeartSmall,Apply
ClothAccessoryWombTattoosSelectHeartSmallOutline,Apply
ClothAccessoryWombTattoosSelectHeartSolid,Apply
ClothAccessoryWombTattoosSelectHeartWings,Apply
ClothAccessoryWombTattoosSelectIn,Apply
ClothAccessoryWombTattoosSelectLeaves,Apply
ClothAccessoryWombTattoosSelectMidSpike,Apply
ClothAccessoryWombTattoosSelectRibow,Apply
ClothAccessoryWombTattoosSelectSense,Apply
ClothAccessoryWombTattoosSelectShake,Apply
ClothAccessoryWombTattoosSelectSideHearts,Apply
ClothAccessoryWombTattoosSelectSwim,Apply
ClothAccessoryWombTattoosSelectThorn,Apply
ClothAccessoryWombTattoosSelectThornOut,Apply
ClothAccessoryWombTattoosSelectTopSpike,Apply
ClothAccessoryWombTattoosSelectVenom,Apply
ClothAccessoryWombTattoosSelectViper,Apply
ClothAccessoryWombTattoosSelectWaves,Apply
ClothAccessoryWombTattoosSelectWingSmall,Apply
ClothAccessoryWombTattoosSelectZoom,Apply
ClothCheerleaderTopTextLabel,Change Text:
ClothChineseDress2Pink,Style 3
ClothChineseDress2Purple,Style 2
ClothChineseDress2Red,Style 1
ClothChineseDress2Select,Select a dress pattern.
ClothCorsetDressNormal,Corset plus skirt
ClothCorsetDressNoSkirt,Only corset
ClothCorsetDressSelect,Choose your corset dress style:
ClothCustomTShirtModuleShirt,Position
ClothCustomTShirtModuleStamp,Stamp
ClothCustomTShirtOptionh0,Default
ClothCustomTShirtOptionh1,Under Skirt
ClothCustomTShirtOptionh2,Under Corset
ClothCustomTShirtOptiont0,None
ClothCustomTShirtOptiont1,Bondage College
ClothCustomTShirtOptiont10,Zam's Stick Art
ClothCustomTShirtOptiont11,Eclipse
ClothCustomTShirtOptiont12,Cesium Frog
ClothCustomTShirtOptiont13,Zam's Stick ArtII
ClothCustomTShirtOptiont14,Hornyhood
ClothCustomTShirtOptiont15,Bondage Club Rules!
ClothCustomTShirtOptiont16,Born To Be Tied
ClothCustomTShirtOptiont17,Hogtied
ClothCustomTShirtOptiont18,Bondage College 2
ClothCustomTShirtOptiont19,S.Tiyana's White C-Pad
ClothCustomTShirtOptiont2,BTG
ClothCustomTShirtOptiont3,Dominant
ClothCustomTShirtOptiont4,Bonk!
ClothCustomTShirtOptiont5,Old School XGame
ClothCustomTShirtOptiont6,Staff
ClothCustomTShirtOptiont7,Elite
ClothCustomTShirtOptiont8,Raiders
ClothCustomTShirtOptiont9,White Moon
ClothCustomTShirtSelectBase,T-shirt options:
ClothCustomTShirtSelectShirt,Choose your T-shirt's positioning:
ClothCustomTShirtSelectStamp,About stamp...
ClothFishnetTopModuleSleeves,Sleeves
ClothFishnetTopModuleTop,Top
ClothFishnetTopOptions0,Sleeves
ClothFishnetTopOptions1,No Sleeves
ClothFishnetTopOptiont0,Full Top
ClothFishnetTopOptiont1,Crop Top
ClothFishnetTopSelectBase,Select AssetName Options
ClothFishnetTopSelectSleeves,Select Sleeves
ClothFishnetTopSelectTop,Select Top
ClothFishnetTopSets0,SourceCharacter attaches sleeves to DestinationCharacterName AssetName.
ClothFishnetTopSets1,SourceCharacter detaches the sleeves of DestinationCharacterName AssetName.
ClothFishnetTopSett0,SourceCharacter switches to DestinationCharacterName AssetName to a full shirt.
ClothFishnetTopSett1,SourceCharacter switches to DestinationCharacterName AssetName to a crop top.
ClothFrilledShirtOpacity,Opacity
ClothFrilledShirtSelect,Choose options.
ClothGagSetCleave,SourceCharacter ties the cloth into a cleave gag over DestinationCharacter mouth.
ClothGagSetKnotted,SourceCharacter ties the cloth into a knot over DestinationCharacter mouth.
ClothGagSetOTM,SourceCharacter ties the cloth into a large gag over DestinationCharacter mouth.
ClothGagSetOTN,SourceCharacter ties the cloth into a large gag over DestinationCharacter mouth and nose.
ClothGagSetSmall,SourceCharacter ties the cloth into a small gag over DestinationCharacter mouth.
ClothGagTypeCleave,Cleave
ClothGagTypeKnotted,Knotted
ClothGagTypeOTM,OTM
ClothGagTypeOTN,OTN
ClothGagTypeSmall,Small
ClothHoodieModuleHood,Hood
ClothHoodieModuleLength,Length
ClothHoodieModulePouch,Pouch
ClothHoodieOptionh0,Hood Down
ClothHoodieOptionh1,Hood Up - Regular
ClothHoodieOptionh2,Hood Up - Pet Ears
ClothHoodieOptionl0,Cropped
ClothHoodieOptionl1,Bolero
ClothHoodieOptionl2,Full Length
ClothHoodieOptionp0,Hands Out
ClothHoodieOptionp1,Hands In
ClothHoodieSelectBase,Select Hoodie Options
ClothHoodieSelectHood,Select Hood Position and Shape
ClothHoodieSelectLength,Select Hoodie Length
ClothHoodieSelectPouch,Hands in or out of the Pouch?
ClothHoodieSetHood,SourceCharacter adjusts the hood of DestinationCharacter hoodie.
ClothHoodieSetHood,SourceCharacter adjusts the length of DestinationCharacter hoodie.
ClothHoodieSetp0,SourceCharacter takes DestinationCharacter hands out of the hoodie's pouch.
ClothHoodieSetp1,SourceCharacter puts DestinationCharacter hands into the hoodie's pouch.
ClothJacketHooded,Hooded
ClothJacketHoodedEarsOut,Hooded (ears visible)
ClothJacketNormal,None
ClothJacketSelect,Select the hoodie style.
ClothLatexLacedSuitLaced,Laced body.
ClothLatexLacedSuitNonLaced,Non-Laced body.
ClothLatexLacedSuitSelect,Select your style.
ClothLatexTankTopkSetm2,SourceCharacter pulls up the hood on DestinationCharacter latex tank top.
ClothLatexTankTopModuleBackHood,Back Hood
ClothLatexTankTopModuleReverseHood,Reverse Hood
ClothLatexTankTopOptionlh0,None
ClothLatexTankTopOptionlh1,Down
ClothLatexTankTopOptionlh2,Pulled Up
ClothLatexTankTopOptionrh0,None
ClothLatexTankTopOptionrh1,Loose
ClothLatexTankTopOptionrh2,Pulled Up
ClothLatexTankTopSelectBackHood,Set back hood style
ClothLatexTankTopSelectBase,Choose style
ClothLatexTankTopSelectReverseHood,Set front hood style
ClothLatexTankTopSetl1,SourceCharacter adds a front hood to DestinationCharacter latex tank top.
ClothLatexTankTopSetl2,SourceCharacter pulls up the front hood on DestinationCharacter latex tank top.
ClothLatexTankTopSetm1,SourceCharacter adds a hood to DestinationCharacter latex tank top.
ClothLowerPantBootsModuleBoot,Boot
ClothLowerPantBootsModuleStripe,Stripe
ClothLowerPantBootsOptionb0,No Boot
ClothLowerPantBootsOptionb1,Wear Boot
ClothLowerPantBootsOptions0,Regular Design
ClothLowerPantBootsOptions1,Prison Stripes
ClothLowerPantBootsSelectBase,Choose Design
ClothLowerPantBootsSelectBoot,Boot Options
ClothLowerPantBootsSelectStripe,Stripe Options
ClothLowerPantBootsSetb0,SourceCharacter removes pants from DestinationCharacter boots.
ClothLowerPantBootsSetb1,SourceCharacter adds pants to DestinationCharacter boots.
ClothLowerPantBootsSets0,SourceCharacter removes the stripes on DestinationCharacter boots.
ClothLowerPantBootsSets1,SourceCharacter reveals the stripes on DestinationCharacter boots.
ClothPriorityTypeNormal,Revealed
ClothPriorityTypeTucked,Tucked in
ClothRetroGirdleGarters,With Garters.
ClothRetroGirdleNonGarters,Non Garters.
ClothRetroGirdleSelect,Select your style.
ClothSlaveRagsModuleBelt,Belt
ClothSlaveRagsModuleCloth,Rag State
ClothSlaveRagsOptionb0,Nothing
ClothSlaveRagsOptionb1,Rope
ClothSlaveRagsOptionb2,Chain
ClothSlaveRagsOptionc0,Old Rags
ClothSlaveRagsOptionc1,Filthy Old Rags
ClothSlaveRagsOptionc2,Torn Rags
ClothSlaveRagsOptionc3,Stained Torn Rags
ClothSlaveRagsSelectBase,Choose how the rags will look like
ClothSlaveRagsSelectBelt,Choose how to tie the rags
ClothSlaveRagsSelectCloth,Choose the tear and filthyness of the rags
ClothSlaveRagsSetb0,SourceCharacter doesnt tie DestinationCharacter rags.
ClothSlaveRagsSetb1,SourceCharacter loosely ties a rope around DestinationCharacter rags.
ClothSlaveRagsSetb2,SourceCharacter locks a chain to hold DestinationCharacter rags.
ClothSlaveRagsSetc0,SourceCharacter puts some old rags over DestinationCharacter body.
ClothSlaveRagsSetc1,SourceCharacter puts some old and filthy rags over DestinationCharacter body.
ClothSlaveRagsSetc2,SourceCharacter puts some torn rags over DestinationCharacter body.
ClothSlaveRagsSetc3,SourceCharacter puts some torn and filthy rags over DestinationCharacter body.
ClothTShirt2BCLogo,Club Logo
ClothTShirt2BDSM,BD-SM
ClothTShirt2Gag,The Moaning Groans
ClothTShirt2Knot,Rope Knot
ClothTShirt2Plain,Plain
ClothTShirt2Rock,Rock
ClothTShirt2Select,Select your design
ClothTShirt2Smile,Smiley
ClothTShirt2Tick,Check
ClubCardGameStart,SourceCharacter has started the Club Card game.
ClubCardNewPlayerSlot0,SourceCharacter will not play Club Card.
ClubCardNewPlayerSlot1,SourceCharacter chose to be the first player.
ClubCardNewPlayerSlot2,SourceCharacter chose to be the second player.
CoffinSetClosed,SourceCharacter closes the lid on DestinationCharacter coffin.
CoffinSetOpen,SourceCharacter opens the lid on DestinationCharacter coffin.
CoffinTypeClosed,Closed
CoffinTypeOpen,Open
CombinationChange,Change code
CombinationChangeFail,SourceCharacter tries to change the code of the padlock on DestinationCharacter FocusAssetGroup but fails.
CombinationChangeSuccess,SourceCharacter changes the code of the padlock on DestinationCharacter FocusAssetGroup.
CombinationEnter,Open lock
CombinationError,Wrong code
CombinationErrorInput,Use 4 digits as a code
CombinationFail,SourceCharacter tries the code CombinationNumber but fails to open the padlock on DestinationCharacter FocusAssetGroup.
CombinationNew,New Code :
CombinationOld,Current Code :
CombinationPadlockControlsBlind,Your blindfold prevents you from seeing the digits on the lock
CombinationPadlockControlsClumsy,Your restraints prevent you from accurately manipulating the lock's dial
CorsetCorsetDressNormal,Corset plus skirt
CorsetCorsetDressNoSkirt,Only corset
CorsetCorsetDressSelect,Choose your corset dress style:
CrotchShield,Crotch shield:
CryoCapsuleSetClosed,SourceCharacter closes the lid on DestinationCharacter cryogenic capsule.
CryoCapsuleSetOpen,SourceCharacter opens the lid on DestinationCharacter cryogenic capsule.
CryoCapsuleTypeClosed,Closed
CryoCapsuleTypeOpen,Open
CupholderGagOptions,Cup interactions
CupholderGagOptionsCup,Place
CupholderGagOptionsNoCup,Remove
CupholderGagOptionsTip,Tip over
CupholderGagSetCup,SourceCharacter places a cup on DestinationCharacter cup holder gag.
CupholderGagSetNoCup,SourceCharacter removes the cup from DestinationCharacter cup holder gag.
CupholderGagSetTip,SourceCharacter tips over the cup on DestinationCharacter cup holder gag.
CushionTypeHold,Hold cushion
CushionTypeKneel,Kneel on cushion
CustomTagText,Save text
Decrease,Decrease
DeflateIt,Deflate it
deflates,deflates
DeflationTime,Time until deflation:
DildoDecreaseTo-1,DestinationCharacterName vibrating dildo stops vibrating.
DildoDecreaseTo0,DestinationCharacterName vibrating dildo slows down into a light tease.
DildoDecreaseTo1,DestinationCharacterName vibrating dildo returns to a moderate pace.
DildoDecreaseTo2,DestinationCharacterName vibrating dildo slows down a tiny bit.
DildoIncreaseTo0,DestinationCharacterName vibrating dildo starts teasing TargetPronounObject lightly.
DildoIncreaseTo1,DestinationCharacterName vibrating dildo builds up to a moderate pace.
DildoIncreaseTo2,DestinationCharacterName vibrating dildo starts buzzing strongly!
DildoIncreaseTo3,DestinationCharacterName vibrating dildo jumps up to maximum intensity!
DildoIntensity,Dildo intensity:
DildoIntensity-1,Dildo item intensity: Disabled
DildoIntensity0,Dildo item intensity: Low
DildoIntensity1,Dildo item intensity: Medium
DildoIntensity2,Dildo item intensity: High
DildoIntensity3,Dildo item intensity: Maximum
DildoPlugGagMouthSetOpen,SourceCharacter pulls out DestinationCharacter dildo plug from TargetPronounPossessive gag.
DildoPlugGagMouthSetPlug,SourceCharacter plugs up DestinationCharacter mouth with the dildo plug.
DuctTapeMouthSetCover,SourceCharacter wraps many layers on DestinationCharacter mouth.
